"","Longitude","Latitude","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","Countrycode","AirQualityStation","Altitude","MeasurementType","AirQualityStationType","AirQualityStationArea","EquivalenceDemonstrated","MeasurementEquipment","InletHeight","BuildingDistance","KerbDistance","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",3.749458,51.295278,2.960464,1.089349,2.481067,0.573704,0.910668,1.253298,0,0,0,1530,0,359295,0,0,440.064819,3312.588867,8206.84375,0,0,0,10792.987305,0,31741.976562,0,0,0,0,0,0,0,130.558716,0,0,0,0,0,28314.40625,0,60863.476562,0,0,14.027731,7.809545,5.151045,2.037839,6.037295,9.130181,9.150001,15.245857,19.155416,18.698936,18.227871,14.704933,636.164856,4.381548,3.558765,4.437889,3.326515,4.202672,4.15639,3.288325,3.347359,3.915079,3.473112,2.966664,3.397882,"NL","STA-NL00318",5,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43w",4,-999,-999,17.8206024096385,16.8897637795276,16.3704724409449,15.4301181102362,15.145157480315,16.1848818897638,17.4603149606299,18.3533858267716,18.406431372549,17.2941568627451,16.0274703557312,14.3131349206349,12.9555511811024,12.1659448818898,11.6412648221344,11.9285546875,13.0183333333333,14.8118604651163,16.6981395348837,18.4787596899225,19.3220930232558,19.5939147286822,19.515503875969,19.1382945736434
"2",3.916947,51.635556,2.998879,3.230887,0.776905,1.807236,3.27938,-0.690162,237915,0,0,380205,18615,380205,73440,0,492.45871,3886.029297,5170.12207,0,0,0,0,0,0,0,0,1412.684082,0,0,11440.245117,0,18217.822266,0,0,5352.03125,0,0,62689.738281,374.136292,75216.851562,1569.326172,0,14.187791,8.581119,5.733756,2.725401,5.673937,8.658687,8.940303,14.566033,18.322552,18.35111,18.095675,14.847655,569.917786,6.320674,5.187909,6.136888,4.650394,5.707218,5.266993,4.387266,4.219216,4.981627,4.430753,4.049176,4.611426,"NL","STA-NL00301",-1,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",4,-999,-999,17.2854435483871,16.5206827309237,16.7961752988048,16.6391633466136,16.1927091633466,16.5293625498008,17.5256573705179,17.9611952191235,16.9478884462151,16.2113147410359,15.0780079681275,13.7639130434783,12.6252380952381,12.2743083003953,12.1728346456693,12.5423046875,13.484453125,14.607392996109,15.2382101167315,16.1702723735409,17.0273151750973,17.5807782101167,17.8147470817121,17.6799221789883
"3",4.121389,51.978056,3.003269,15.185451,51.658539,49.109848,15.834966,1.97367,0,0,0,847620,0,4416600,0,0,3102.089111,23252.75,61342.878906,0,0,0,0,0,9744.513672,0,0,1869.710938,0,0,8812.506836,110.547173,18873.056641,1222.38916,0,12614.074219,0,0,38824.152344,465.240356,77248.414062,2501.188477,0,14.174484,8.695239,5.846949,2.782228,5.449903,8.447304,8.852376,14.382033,18.004015,18.194321,17.990791,14.828413,691.515625,6.540446,5.317981,6.207231,4.730088,5.77233,5.198254,4.464532,4.205428,4.968825,4.396253,4.097217,4.636786,"NL","STA-NL00496",0,"automatic","industrial","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E",3,-999,-999,31.0996078431372,29.3905511811024,29.1728346456693,28.7740157480315,28.8758893280632,30.7101960784314,33.7592156862745,34.400390625,32.1960784313725,29.2012,27.474297188755,24.0968,22.4837944664032,22.6221343873518,23.0169960474308,25.5720472440945,27.13125,29.3686274509804,31.556862745098,32.740625,35.5835294117647,36.7725490196078,34.5329411764706,32.9874509803921
"4",4.227778,51.931944,2.983356,31.591223,108.899269,105.218941,41.687683,7.877421,15045,0,0,1602675,0,3731925,0,0,6142.983398,36911.640625,79492.710938,0,0,0,11797.124023,0,46626.230469,0,0,0,0,0,0,0,25224.466797,0,0,13942.574219,441.553955,91.946823,82291.882812,2672.11499,164851.234375,4714.199707,146.376831,14.083884,8.413713,5.591522,2.462384,5.440697,8.469668,8.80668,14.555529,18.184504,18.254551,17.958282,14.665065,698.576111,5.915279,4.725876,5.62497,4.246189,5.293065,4.822597,4.105578,3.904168,4.626059,4.042036,3.742742,4.212022,"NL","STA-NL00495",0,"automatic","industrial","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,32.627027027027,31.9559845559846,30.3868725868726,30.4476923076923,31.3584615384615,34.7838461538462,38.2142307692308,37.6184615384615,36.8633204633204,33.798046875,30.0911196911197,26.951953125,25.5105058365759,24.4311023622047,25.3368217054264,27.2416988416988,28.9515384615385,30.4338461538462,33.3915384615384,37.5076923076923,39.6669230769231,38.2161538461538,37.3692307692307,34.935
"5",4.289172,52.078056,2.988282,31.661768,24.22106,32.607677,34.17395,6.16568,11730,255,0,194055,7395,931005,8415,0,19552.472656,152638.75,322745,0,0,0,3832.431641,0,10873.864258,0,0,6303.990234,0,0,47392.144531,965.71051,83554.546875,1961.708984,0,60375.496094,761.351074,90.651947,440915.1875,4427.856445,903282.8125,13613.546875,196.531113,14.038208,8.37265,5.562256,2.3685,5.240417,8.300415,8.696289,14.410004,17.920044,18.098816,17.827393,14.58667,617.689026,6.080163,4.817459,5.645605,4.320222,5.371153,4.815842,4.214552,3.92483,4.629953,4.040438,3.776271,4.228816,"NL","STA-NL00404",2,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,27.0294117647059,24.4494166666667,23.6081673306773,23.2207171314741,23.6522709163347,26.7484462151394,31.9305179282868,34.4550597609562,32.7666533864542,28.609,24.3522891566265,21.1855421686747,19.09668,18.2982,18.107619047619,18.8401960784314,20.7650787401575,23.4002352941177,24.7940784313726,26.2330588235294,27.0023137254902,27.9616470588235,28.7708235294118,27.5194117647059
"6",4.316125,52.075,2.980792,64.160179,27.444309,33.721405,59.249641,5.541442,4335,0,0,400860,0,1519800,0,0,19461.841797,145096.109375,330798.125,0,0,0,10364.708984,0,56493.007812,0,0,3393.403076,0,0,47594.074219,0,94313.085938,0,0,49984.414062,711.195862,124.243958,425772.5,5404.715332,953284.375,12862.296875,219.920532,14.038208,8.37265,5.562256,2.3685,5.240417,8.300415,8.696289,14.410004,17.920044,18.098816,17.827393,14.58667,621.717102,6.080163,4.817459,5.645605,4.320222,5.371153,4.815842,4.214552,3.92483,4.629953,4.040438,3.776271,4.228816,"NL","STA-NL00445",4,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,6,1,31.1004347826087,28.2412173913044,25.90688,25.25136,26.89648,32.27248,39.49516,44.53532,43.544140625,39.3754826254826,35.2089883268483,32.3540392156863,31.4941568627451,30.8601176470588,31.610390625,32.7129961089494,35.3511240310077,38.2545736434109,39.1638372093023,39.2167829457364,39.6936821705426,39.1997286821705,38.2451162790698,36.12
"7",4.326953,51.911389,2.925128,25.483059,29.945827,25.467686,24.533329,3.111895,126480,0,0,1738590,0,6135300,255,0,10618.644531,52978.027344,146503.875,3735.988281,0,0,22206.880859,0,85013.84375,0,0,0,0,0,0,0,198.242676,0,0,42565.746094,481.260193,77.84462,134134.921875,4605.375977,284990.8125,13432.260742,203.683197,13.965834,8.090379,5.332485,2.123844,5.394458,8.482115,8.766945,14.722016,18.338703,18.278593,17.938408,14.509159,700.017639,5.318415,4.165634,5.054909,3.789786,4.844625,4.454098,3.760812,3.617185,4.276114,3.680569,3.393606,3.803319,"NL","STA-NL00433",-1,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,3,3,32.8055870445344,30.5972289156626,29.1471042471043,30.6033976833977,33.6335135135135,41.8912355212356,47.1937451737452,47.9190733590734,44.3846718146718,40.8694615384615,37.8336186770428,34.47671875,32.26796875,32.0512015503876,33.0251351351351,32.7763461538461,33.0561003861004,33.9277692307692,35.0217692307692,36.7732692307692,38.8718461538462,38.7226538461538,37.0418076923077,34.9151153846154
"8",4.35527754,51.86610794,2.914397,28.247986,30.990351,33.11982,29.391712,4.118045,1275,0,0,2503845,0,7319520,0,0,7604.581543,59320.914062,159878.65625,38.2052,0,0,42043.085938,0,72758.0625,0,0,3732.609375,0,0,11045.004883,144.447342,24065.431641,1703.744385,0,24568.261719,0,0,110291.242188,2283.377441,295246.84375,8241.416992,0,13.931131,7.995257,5.256382,2.024405,5.380963,8.486064,8.7556,14.771219,18.384262,18.285776,17.932806,14.463459,682.070557,5.142654,4.000917,4.887222,3.655586,4.712663,4.345725,3.659393,3.532868,4.173187,3.574309,3.290956,3.68317,"NL","STA-NL00485",1,"automatic","industrial","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/API100E",3,-999,-999,27.0596153846154,26.28,25.5496153846154,24.5065384615385,25.7265384615385,30.1465384615385,33.6376923076923,34.7146153846154,32.8715384615385,29.8519379844961,26.8291338582677,24.7627450980392,23.0765625,22.7733590733591,23.6494208494208,24.9626923076923,27.4557692307692,28.9203846153846,29.9573076923077,31.5126923076923,33.4580769230769,32.795,31.3619230769231,29.7703846153846
"9",4.360286,51.435,2.908548,5.795035,1.863462,3.095471,6.047546,17.490393,37740,0,0,181815,0,289425,0,0,910.610413,7357.052734,14482.106445,0,0,0,0,0,12575.552734,0,0,0,0,0,6560.641113,0,10889.712891,0,0,2620.393066,0,0,52288.96875,22.413157,102944.9375,178.956116,0,13.820949,7.426363,4.884685,1.651892,5.791596,8.84941,8.801686,15.275191,19.13636,18.521713,18.155283,14.407513,679.797058,4.387819,3.495,4.385399,3.26332,4.210354,4.061991,3.235762,3.252534,3.830123,3.299844,2.892608,3.352313,"NL","STA-NL00235",18,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,-999,-999,18.8106278026906,18.5243171806167,17.9841245136187,18.3296887159533,17.946420233463,18.7769649805448,20.7952918287938,22.7099221789883,23.2347859922179,22.0858365758755,20.2081322957198,18.4307421875,16.486968503937,15.4916470588235,14.7262352941176,15.0515564202335,15.9721011673152,17.2484496124031,18.6573255813953,19.6718217054264,20.3954263565892,20.8860465116279,20.521007751938,19.8150194552529
"10",4.360564,52.039722,2.947209,35.110367,48.326908,32.087975,32.973431,0.213533,141270,1785,0,1159995,40545,2474010,113730,0,12157.306641,77009.453125,245327.65625,11602.306641,0,0,54286.882812,0,96745.46875,0,0,0,0,0,2880.264648,0,40107.804688,0,0,31933.105469,567.732605,68.010155,240385.9375,4393.72168,790462.25,11625.363281,140.887527,14.026112,8.322093,5.518636,2.321773,5.269849,8.338956,8.712271,14.466214,17.988701,18.126154,17.846529,14.571224,653.166626,5.925086,4.680709,5.519197,4.208791,5.263021,4.738793,4.121077,3.857999,4.553001,3.959929,3.693894,4.138081,"NL","STA-NL00446",-2,"automatic","background","suburban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,27.0422842639594,24.5482692307692,23.8422957198443,24.0814785992218,26.2904280155642,31.3427626459144,35.8149027237354,37.6545525291829,35.7565891472868,31.103667953668,26.607519379845,23.0119379844961,21.1936575875486,20.2418677042802,21.2266666666667,22.9816602316602,25.0821153846154,27.8081923076923,29.8155,31.7231538461539,32.6828461538461,32.9370769230769,31.9452692307692,30.1913846153846
